Faculty,Year,Gender,Hr_SS  ,Hr_LL ,Resources_SS,Study_method ,Rem_LL,Rem_SS,Retain_SS_LL  ,Exam_recall,Challenge_LL  ,Challenge_SS,Long_term_retention ,Combine_LM_SS,Conceptual_understanding_LL ,Deeper_understanding_SS  
Faculty of Humanities and Social Sciences,2nd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Both equally,4,4,More from lectures,3,Other,Time management,Self-study,Often,Maybe,Disagree
Faculty of Engineering,1st Year,Male,0-5 hours,11-15 hours,YouTube Videos,Both equally,2,3,More from self-study,3,Difficulty concentrating,Time management,Both equally,Sometimes,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,6-10 hours,Online Courses,Self-study,2,3,More from lectures,2,Other,Time management,Both equally,Often,Maybe,Agree
Faculty of Humanities and Social Sciences,2nd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,3,More from lectures,3,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Often,Maybe,Agree
Faculty of Management studies and Commerce,4th Year,Female,11-15 hours,6-10 hours,Other,Both equally,3,5,More from self-study,5,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Sometimes,Maybe,Agree
Faculty of Management studies and Commerce,4th Year,Female,More than 20 hours,11-15 hours,Academic Journals,Both equally,5,5,More from self-study,4,Lack of engagement during long lectures,Difficulty understanding complex topics,Both equally,Always,Maybe,Neutral
Faculty of Technology,3rd Year,Male,11-15 hours,6-10 hours,YouTube Videos,Self-study,3,4,More from self-study,3,Difficulty remembering information after the lecture,Difficulty understanding complex topics,Self-study,Sometimes,Maybe,Neutral
Faculty of Applied Sciences,2nd Year,Female,16-20 hours,16-20 hours,Academic Journals,Both equally,3,3,More from self-study,4,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Often,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Male,0-5 hours,0-5 hours,Academic Journals,Both equally,3,3,More from self-study,4,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Sometimes,Yes,Agree
Faculty of Applied Sciences,2nd Year,Female,6-10 hours,More than 20 hours,YouTube Videos,Both equally,3,5,More from self-study,4,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Always,Maybe,Disagree
Faculty of Engineering,2nd Year,Female,11-15 hours,6-10 hours,Other,Both equally,3,3,More from lectures,5,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Sometimes,Yes,Neutral
Faculty of Management studies and Commerce,4th Year,Male,11-15 hours,16-20 hours,Academic Journals,Listening to lectures,4,4,More from lectures,4,Lack of engagement during long lectures,Time management,Both equally,Often,Yes,Agree
Faculty of Computing,2nd Year,Male,11-15 hours,16-20 hours,Online Courses,Both equally,1,4,More from self-study,5,Other,Lack of motivation,Self-study,Always,No,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Both equally,3,4,More from self-study,3,Difficulty remembering information after the lecture,Lack of motivation,Both equally,Always,Maybe,Agree
Other,4th Year,Female,16-20 hours,16-20 hours,Other,Both equally,3,4,More from self-study,4,Limited interaction with the lecturer,Time management,Self-study,Always,No,Agree
Faculty of Humanities and Social Sciences,1st Year,Female,0-5 hours,11-15 hours,Other,Both equally,1,5,More from self-study,3,Other,Time management,Both equally,Never,No,Strongly agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,16-20 hours,Online Courses,Both equally,3,4,More from self-study,4,Difficulty concentrating,Difficulty understanding complex topics,Self-study,Sometimes,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,11-15 hours,6-10 hours,YouTube Videos,Self-study,4,3,More from lectures,4,Limited interaction with the lecturer,Difficulty understanding complex topics,Self-study,Rarely,Maybe,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,More than 20 hours,0-5 hours,YouTube Videos,Both equally,1,4,More from self-study,5,Difficulty concentrating,Difficulty understanding complex topics,Both equally,Always,Yes,Strongly agree
Other,2nd Year,Female,11-15 hours,16-20 hours,Other,Self-study,2,4,More from self-study,4,Difficulty remembering information after the lecture,Time management,Self-study,Always,Yes,Agree
Faculty of Humanities and Social Sciences,3rd Year,Female,6-10 hours,6-10 hours,YouTube Videos,Both equally,2,4,More from self-study,4,Lack of engagement during long lectures,Difficulty understanding complex topics,Self-study,Sometimes,Maybe,Agree
Faculty of Management studies and Commerce,2nd Year,Female,11-15 hours,6-10 hours,Other,Both equally,3,3,More from self-study,3,Difficulty remembering information after the lecture,Time management,Self-study,Often,No,Disagree
Faculty of Applied Sciences,3rd Year,Female,6-10 hours,16-20 hours,YouTube Videos,Both equally,3,5,More from self-study,3,Difficulty concentrating,Lack of focus,Both equally,Sometimes,Yes,Disagree
Faculty of Management studies and Commerce,3rd Year,Female,0-5 hours,More than 20 hours,YouTube Videos,Both equally,2,5,More from self-study,3,Difficulty concentrating,Lack of focus,Both equally,Sometimes,No,Strongly agree
Faculty of Humanities and Social Sciences,3rd Year,Female,0-5 hours,6-10 hours,YouTube Videos,Self-study,3,4,More from self-study,2,Lack of engagement during long lectures,Lack of focus,Self-study,Sometimes,Maybe,Neutral
